city,recorded_at,hour,day_of_week,day_of_week_name,month,season,is_daytime,is_weekend,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_cardinal,visibility_km,weather_main,cloud_cover_pct
Delhi,2026-06-06 22:00:00,22,5,Saturday,6,Monsoon,0,1,121,Unhealthy for Sensitive Groups,pm10,76,121,22.2,8.0,7.1,3.0,36.7,21.5,24,1001,4.07,9.28,W,10.0,Clouds,59
Chennai,2026-06-06 20:00:00,20,5,Saturday,6,Monsoon,0,1,79,Moderate,pm25,79,51,5.0,11.6,9.4,2.2,32.64,26.84,71,1007,0.45,0.89,S,10.0,Clouds,84
Kolkata,2026-06-06 20:00:00,20,5,Saturday,6,Monsoon,0,1,82,Moderate,pm25,82,43,15.9,7.7,6.1,0.1,28.63,23.23,73,1003,2.4,5.55,S,10.0,Clouds,100
Delhi,2026-06-07 12:00:00,12,6,Sunday,6,Monsoon,1,1,114,Unhealthy for Sensitive Groups,pm10,89,114,5.6,16.2,3.1,3.5,41.09,25.09,20,1001,2.61,5.02,W,10.0,Clear,0
Chennai,2026-06-07 12:00:00,12,6,Sunday,6,Monsoon,1,1,74,Moderate,pm25,74,46,5.2,12.7,9.3,2.5,36.99,26.39,47,1005,3.58,4.47,SW,10.0,Clouds,100
Kolkata,2026-06-07 12:00:00,12,6,Sunday,6,Monsoon,1,1,82,Moderate,pm25,82,39,9.6,9.7,5.0,3.5,33.59,24.19,53,1003,3.86,4.69,SW,10.0,Clouds,100
Delhi,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,123,Unhealthy for Sensitive Groups,pm10,80,123,4.4,18.0,3.1,3.7,41.01,25.41,22,1000,2.3,6.35,W,10.0,Clear,0
Chennai,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,79,Moderate,pm25,79,51,5.4,13.0,10.1,1.9,37.71,26.71,45,1004,4.02,5.81,W,10.0,Clouds,100
Kolkata,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,83,Moderate,pm25,83,48,10.5,11.8,5.2,4.0,35.21,24.81,48,1002,3.57,4.13,S,10.0,Rain,100
Delhi,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,123,Unhealthy for Sensitive Groups,pm10,80,123,4.4,18.0,3.1,3.7,41.01,25.41,22,1000,2.3,6.35,W,10.0,Clear,0
Chennai,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,79,Moderate,pm25,79,51,5.4,13.0,10.1,1.9,37.71,26.71,45,1004,4.02,5.81,W,10.0,Clouds,100
Kolkata,2026-06-07 13:00:00,13,6,Sunday,6,Monsoon,1,1,83,Moderate,pm25,83,48,10.5,11.8,5.2,4.0,35.21,24.81,48,1002,3.57,4.13,S,10.0,Rain,100
Delhi,2026-06-07 18:00:00,18,6,Sunday,6,Monsoon,1,1,116,Unhealthy for Sensitive Groups,pm10,64,116,8.9,13.9,2.3,3.3,42.61,25.21,13,997,5.05,8.32,NW,10.0,Clear,5
Chennai,2026-06-07 18:00:00,18,6,Sunday,6,Monsoon,1,1,76,Moderate,pm25,76,48,5.0,13.0,9.2,2.0,33.15,26.75,68,1005,3.13,3.58,SE,10.0,Clouds,100
Kolkata,2026-06-07 18:00:00,18,6,Sunday,6,Monsoon,1,1,59,Moderate,pm25,59,39,17.6,8.2,5.8,3.7,33.94,23.94,50,1000,6.71,9.99,S,10.0,Rain,73
Delhi,2026-06-08 09:00:00,9,0,Monday,6,Monsoon,1,0,75,Moderate,pm10,63,75,11.3,8.3,2.8,2.3,38.62,24.22,28,1001,3.73,4.92,W,10.0,Clear,0
Chennai,2026-06-08 07:00:00,7,0,Monday,6,Monsoon,1,0,78,Moderate,pm25,78,50,5.4,12.2,10.5,2.5,34.13,24.93,54,1008,3.13,4.47,W,10.0,Clouds,100
Kolkata,2026-06-08 08:00:00,8,0,Monday,6,Monsoon,1,0,70,Moderate,pm25,70,35,8.7,5.2,4.5,4.4,36.33,25.13,44,1002,5.06,5.82,SW,10.0,Clouds,75
Delhi,2026-06-08 16:00:00,16,0,Monday,6,Monsoon,1,0,117,Unhealthy for Sensitive Groups,pm10,72,117,6.0,19.0,4.6,2.6,44.69,26.49,9,995,5.95,8.33,NW,10.0,Clouds,39
Chennai,2026-06-08 07:00:00,7,0,Monday,6,Monsoon,1,0,78,Moderate,pm25,78,50,5.4,12.2,10.5,2.5,31.63,25.83,71,1003,4.39,5.33,SE,10.0,Clouds,97
Kolkata,2026-06-08 14:00:00,14,0,Monday,6,Monsoon,1,0,80,Moderate,pm25,80,53,8.8,10.5,4.1,4.3,38.97,25.77,34,997,5.85,6.25,SW,10.0,Clouds,30
Delhi,2026-06-08 19:00:00,19,0,Monday,6,Monsoon,0,0,81,Moderate,pm10,49,81,20.2,16.0,0.1,2.8,42.29,24.09,9,996,4.04,7.88,NW,10.0,Clear,0
Chennai,2026-06-08 19:00:00,19,0,Monday,6,Monsoon,0,0,75,Moderate,pm25,75,47,5.2,12.5,11.0,1.9,31.84,27.24,77,1006,0.45,0.89,SW,10.0,Clouds,100
Kolkata,2026-06-08 19:00:00,19,0,Monday,6,Monsoon,0,0,100,Moderate,pm25,100,58,10.5,7.8,3.6,4.4,31.82,26.62,74,1000,7.42,11.35,S,10.0,Clouds,81
Mumbai,2026-06-10 09:00:00,9,2,Wednesday,6,Monsoon,1,0,91,Moderate,pm25,91,53,2.2,11.6,2.4,11.8,30.66,24.66,70,1009,6.05,6.07,W,10.0,Clouds,71
Delhi,2026-06-10 10:00:00,10,2,Wednesday,6,Monsoon,1,0,101,Unhealthy for Sensitive Groups,pm10,74,101,8.6,7.4,3.7,1.0,40.64,25.24,23,1000,4.78,6.52,W,10.0,Clear,0
Chennai,2026-06-10 09:00:00,9,2,Wednesday,6,Monsoon,1,0,81,Moderate,pm25,81,51,4.7,12.8,10.3,2.1,34.25,25.45,56,1008,3.58,4.02,W,10.0,Clouds,100
Kolkata,2026-06-10 09:00:00,9,2,Wednesday,6,Monsoon,1,0,79,Moderate,pm25,79,55,7.4,10.1,3.7,4.1,38.25,26.45,41,1002,5.37,5.72,S,10.0,Clouds,11
Mumbai,2026-06-10 10:00:00,10,2,Wednesday,6,Monsoon,1,0,87,Moderate,pm25,87,51,2.0,11.5,2.2,11.9,31.39,24.99,68,1007,6.14,6.33,W,10.0,Clouds,49
